REGION_BRCH,PRODUCT_TYPE_BRCH,COLLATERAL_AGREEMENT_ID,COLLATERAL_AGREEMENT_TYPE,COLLATERAL_AMOUNT,COLLATERAL_CURRENCY,FACILITY_NR,AS_OF_DT,MULTIPLY_DIVIDE_IND,RATE,CUSTOMER_NR,ENTITY,MATURITY_DATE,REC_REF_DT,SOURCE_SYSTEM,START_DATE,FROM_CURRENCY,TO_CURRENCY,LCY_TO_HKD,DEAL_DT
hk,PLEDGE_COLLATERAL,CLS:180000000000000003288563:2:1,P003,78971361,HKD,CLS:1000600495,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001328328,18,30NOV2025:00:00:00,31DEC2024:00:00:00,NX,18NOV2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003288563:1:0,G007,100000000,HKD,CLS:1000600495,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001328328,18,30NOV2025:00:00:00,31DEC2024:00:00:00,NX,18NOV2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293506:1:1,P001,3530088,HKD,CLS:1000610591,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001348284,18,10MAY2051:00:00:00,31DEC2024:00:00:00,NX,10MAY2021:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003299973:1:1,P001,47143341,HKD,CLS:1000623662,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001357672,18,26JUL2051:00:00:00,31DEC2024:00:00:00,NX,26JUL2021:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003291837:7:1,P002,2925947,HKD,CLS:1000644384,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001342613,18,12JAN2042:00:00:00,31DEC2024:00:00:00,NX,12JAN2022:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003291837:6:0,G007,99999999999,HKD,CLS:1000644384,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001342613,18,12JAN2042:00:00:00,31DEC2024:00:00:00,NX,12JAN2022:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003301812:1:0,O010,2446052,HKD,CLS:1000632681,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001378895,18,30SEP2025:00:00:00,31DEC2024:00:00:00,NX,20SEP2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003303618:3:0,G007,99999999999,HKD,CLS:1000632489,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001380019,18,31MAY2025:00:00:00,31DEC2024:00:00:00,NX,09DEC2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003303618:1:1,P001,62953165,HKD,CLS:1000632489,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001380019,18,31MAY2025:00:00:00,31DEC2024:00:00:00,NX,09DEC2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003303619:2:0,G007,99999999999,HKD,CLS:1000632489,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001379757,18,31MAY2025:00:00:00,31DEC2024:00:00:00,NX,09DEC2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293882:2:1,P002,88805212,HKD,CLS:1000611916,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001350405,18,30APR2025:00:00:00,31DEC2024:00:00:00,NX,29OCT2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293882:4:1,P003,4179905,HKD,CLS:1000611916,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001350405,18,30APR2025:00:00:00,31DEC2024:00:00:00,NX,29OCT2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293882:1:0,G007,99999999999,HKD,CLS:1000611916,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001350405,18,30APR2025:00:00:00,31DEC2024:00:00:00,NX,29OCT2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293882:6:1,P001,6577196,HKD,CLS:1000611916,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001350405,18,30APR2025:00:00:00,31DEC2024:00:00:00,NX,29OCT2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003293882:5:1,P003,4179905,HKD,CLS:1000611916,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001350405,18,30APR2025:00:00:00,31DEC2024:00:00:00,NX,29OCT2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003308598:4:0,G007,99999999999,HKD,CLS:1000645687,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001392665,18,31JAN2025:00:00:00,31DEC2024:00:00:00,NX,23JAN2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003308598:5:0,O010,4168621,HKD,CLS:1000645687,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001392665,18,31JAN2025:00:00:00,31DEC2024:00:00:00,NX,23JAN2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:2:1,P002,52555221,HKD,CLS:1000587307,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001324321,18,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:9:0,G007,470000000,HKD,CLS:1000587307,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001324321,18,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:10:1,P001,19426540,HKD,CLS:1000587307,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001324321,18,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:4:1,P002,76443959,HKD,CLS:1000587307,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001324321,18,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:6:0,G007,470000000,HKD,CLS:1000587307,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001324321,18,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:11:1,P001,28890753,HKD,CLS:1000587307,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001324321,18,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:12:1,P001,171451676,HKD,CLS:1000587307,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001324321,18,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282067:8:0,G007,470000000,HKD,CLS:1000587307,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001324321,18,16OCT2024:00:00:00,31DEC2024:00:00:00,NX,28DEC2023:00:00:00,HKD,HKD,1,
