REGION_BRCH,PRODUCT_TYPE_BRCH,AS_OF_DT,ENTITY,SOURCE_SYSTEM,ACCT_ID,SCHED_ID,SCHED_START_DT,SCHED_END_DT,FIRST_DUE_DT,NOF_PMT,INSTL_FLAT_AMT,PMT_FREQ,PMT_INCR,PMT_TYP_CD,PMT_DAY,SKP_PMT_MTH,REC_REF_DT
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000015782898,B01A,27DEC2013:00:00:00,28FEB2025:00:00:00,28FEB2025:00:00:00,1,250000.0,M,1,P,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000015782898,B01B,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000015978085,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000015978085,B01A,29JAN2025:00:00:00,29AUG2025:00:00:00,29AUG2025:00:00:00,1,0.0,M,1,I,29,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000015978085,B02A,02JUN2016:00:00:00,29AUG2025:00:00:00,29AUG2025:00:00:00,1,380000.0,M,1,P,29,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016143929,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016143929,B01A,29JAN2025:00:00:00,30SEP2025:00:00:00,30SEP2025:00:00:00,1,0.0,M,1,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016143929,B02A,13NOV2018:00:00:00,30SEP2025:00:00:00,30SEP2025:00:00:00,1,2200000.0,M,1,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016120238,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016120238,B01A,29JAN2025:00:00:00,30MAY2025:00:00:00,30MAY2025:00:00:00,1,0.0,M,1,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016120238,B02A,26JUN2018:00:00:00,30MAY2025:00:00:00,30MAY2025:00:00:00,1,2922000.0,M,1,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016157859,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016157859,B01A,29JAN2025:00:00:00,30MAY2025:00:00:00,30MAY2025:00:00:00,1,0.0,M,1,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016157859,B02A,30JAN2019:00:00:00,30MAY2025:00:00:00,30MAY2025:00:00:00,1,1140000.0,M,1,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016128148,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016128148,B01A,29JAN2025:00:00:00,30SEP2025:00:00:00,30SEP2025:00:00:00,1,0.0,M,1,I,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016128148,B02A,07AUG2018:00:00:00,30SEP2025:00:00:00,30SEP2025:00:00:00,1,200000.0,M,1,P,30,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016147509,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016147509,B02A,04DEC2018:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,1000000.0,M,1,P,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016193918,B01A,24AUG2024:00:00:00,24FEB2025:00:00:00,24FEB2025:00:00:00,1,0.0,M,6,I,24,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016193918,B01A,25FEB2025:00:00:00,28NOV2025:00:00:00,28NOV2025:00:00:00,1,0.0,M,6,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016193918,B02A,20AUG2019:00:00:00,28NOV2025:00:00:00,28NOV2025:00:00:00,1,1000000.0,M,6,P,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016260978,B01A,14DEC2024:00:00:00,13MAR2025:00:00:00,13MAR2025:00:00:00,1,0.0,M,1,I,13,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016260978,B01A,14MAR2025:00:00:00,31MAR2025:00:00:00,31MAR2025:00:00:00,1,0.0,M,3,I,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016260978,B02A,10JUN2020:00:00:00,31MAR2025:00:00:00,31MAR2025:00:00:00,1,5547500.0,M,3,P,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016255451,B01A,28NOV2024:00:00:00,27FEB2025:00:00:00,27FEB2025:00:00:00,1,0.0,M,1,I,27,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016255451,B01A,28FEB2025:00:00:00,31MAR2025:00:00:00,31MAR2025:00:00:00,1,0.0,M,1,I,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016255451,B02A,25MAY2020:00:00:00,31MAR2025:00:00:00,31MAR2025:00:00:00,1,80000000.0,M,3,P,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016227138,B01A,19DEC2024:00:00:00,20JAN2025:00:00:00,20JAN2025:00:00:00,1,0.0,M,1,I,20,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016227138,B01A,21JAN2025:00:00:00,28FEB2025:00:00:00,28FEB2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016227138,B02A,31JAN2020:00:00:00,28FEB2025:00:00:00,28FEB2025:00:00:00,1,11700000.0,D,14,P,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016284729,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016284729,B01A,29JAN2025:00:00:00,31JUL2025:00:00:00,31JUL2025:00:00:00,1,0.0,M,1,I,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016284729,B02A,22SEP2020:00:00:00,31JUL2025:00:00:00,31JUL2025:00:00:00,1,1600000.0,M,1,P,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016277161,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016277161,B01A,29JAN2025:00:00:00,31JUL2025:00:00:00,31JUL2025:00:00:00,1,0.0,M,1,I,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016277161,B02A,21AUG2020:00:00:00,31JUL2025:00:00:00,31JUL2025:00:00:00,1,11600000.0,M,1,P,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016308741,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016308741,B02A,04JAN2021:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,11401000.0,M,1,P,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016297049,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016297049,B01A,29JAN2025:00:00:00,31OCT2025:00:00:00,31OCT2025:00:00:00,1,0.0,M,1,I,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016297049,B02A,18NOV2020:00:00:00,31OCT2025:00:00:00,31OCT2025:00:00:00,1,2000000.0,M,1,P,31,0,31DEC2024:00:00:00
