COLLATERAL_AGREEMENT_ID,FACILITY_NR,COLLATERAL_AGREEMENT_TYPE,COLLATERAL_AMOUNT,COLLATERAL_CURRENCY,AS_OF_DT,COMMIT_INDICATOR,CCF,DRAWN_AMOUNT,UNDRAWN_AMOUNT
CLS:180000000000000000007030:1:1,CLS:0001396719,P002,12333269,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000000007030:2:0,CLS:0001396719,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000000007249:2:1,CLS:0001284576,P001,9902978,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000000007400:2:2,CLS:0001350337,P001,11255059,HKD,31DEC2024:00:00:00,N,0.0,1492457.62,7542.38
CLS:180000000000000000007406:12:0,CLS:0001350082,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,1293430.38,0.0
CLS:180000000000000000007406:1:1,CLS:0001350082,P001,21763092,HKD,31DEC2024:00:00:00,Y,20.0,1293430.38,0.0
CLS:180000000000000000007406:6:1,CLS:0001347212,P001,14411286,HKD,31DEC2024:00:00:00,Y,20.0,844039.01,0.0
CLS:180000000000000000007406:7:1,CLS:0001347214,P001,9211338,HKD,31DEC2024:00:00:00,Y,20.0,539488.69,0.0
CLS:180000000000000000007406:8:0,CLS:0001347212,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,844039.01,0.0
CLS:180000000000000000007406:8:0,CLS:0001347214,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,539488.69,0.0
CLS:180000000000000000007486:1:1,CLS:0001318160,P001,11954794,HKD,31DEC2024:00:00:00,N,0.0,0.0,1000000.0
CLS:180000000000000000007486:2:0,CLS:0001318160,G007,99999999999,HKD,31DEC2024:00:00:00,N,0.0,0.0,1000000.0
CLS:180000000000000000007669:9:0,CLS:0000001555,G007,20000000,HKD,31DEC2024:00:00:00,N,0.0,2404512.0,1595488.0
CLS:180000000000000000007669:9:0,CLS:0001216101,G007,20000000,HKD,31DEC2024:00:00:00,N,0.0,2404512.0,1595488.0
CLS:180000000000000000007970:1:1,CLS:0001340144,P001,6376176,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
