FACILITY_NR,COLLATERAL_AGREEMENT_TYPE,DRAWN_AMOUNT,AS_OF_DT,UNDRAWN_AMOUNT,COLLATERAL_AGREEMENT_ID,COLLATERAL_CURRENCY,COLLATERAL_VALUE_POST_HAIRCUT,EAD_POST_CCF,ALLOCATED_COLLATERAL_ON,ALLOCATED_COLLATERAL_OFF,ON_OFF_IND,CUR_BAL,DEAL_ID,CUR_RT,FAC_CUR_BAL,PORTION,DEAL_ALLOCATED_COLLATERAL_ON,DEAL_ALLOCATED_COLLATERAL_OFF
CLS:0001267678,P001,66954.2,31DEC2024:00:00:00,0.0,CLS:180000000000000001005912:1:1,HKD,10824186,66954.2,10824186.0,0.0,N,66954.2,ALS:18100694000000000015208468,2.8,66954.2,1.0,10824186.0,0.0
CLS:0001269657,P001,687486.87,31DEC2024:00:00:00,0.0,CLS:180000000000000001007207:1:1,HKD,5854590,687486.87,5854590.0,0.0,N,687486.87,ALS:18100694000000000015216959,3.0,687486.87,1.0,5854590.0,0.0
CLS:0001298491,G007,0.0,31DEC2024:00:00:00,3000000.0,CLS:180000000000000001499318:4:0,HKD,159999999998,2100000.0,0.0,2459016393.4118853,,0.0,IM CORE:1810069400000240046700,0.0,0.0,,,0.0
CLS:0001298491,P001,0.0,31DEC2024:00:00:00,6000000.0,CLS:180000000000000001498706:1:1,HKD,18842907,4200000.0,0.0,289593.85758196726,,0.0,IM CORE:1810069400000240046700,0.0,0.0,,,0.0
CLS:0001298491,P002,0.0,31DEC2024:00:00:00,1500000.0,CLS:180000000000000001499318:1:1,HKD,3439978,1050000.0,0.0,52868.514344262294,,0.0,IM CORE:1810069400000240046700,0.0,0.0,,,0.0
CLS:0001311387,G007,6395541.0,31DEC2024:00:00:00,4459.0,CLS:180000000000000001499200:1:0,HKD,159999999998,6398662.3,14360139693.80705,7008367.865404966,N,996468.72,IMEX:894333138599:001:Finance:INFI::HKD,5.07941,996468.72,1.0,14360139693.80705,0.0
CLS:0001311387,P001,19186623.0,31DEC2024:00:00:00,13377.0,CLS:180000000000000001499200:11:1,HKD,35041306,19195986.9,3144987.807623307,1534.889768345575,N,996468.72,IMEX:894333138599:001:Finance:INFI::HKD,5.07941,996468.72,1.0,3144987.807623307,0.0
CLS:0001311387,P003,19186623.0,31DEC2024:00:00:00,13377.0,CLS:180000000000000001499200:10:1,HKD,30651036,19195986.9,2750957.242033818,1342.5858484153496,N,996468.72,IMEX:894333138599:001:Finance:INFI::HKD,5.07941,996468.72,1.0,2750957.242033818,0.0
CLS:0001332751,P001,342547.28,31DEC2024:00:00:00,0.0,CLS:180000000000000001013009:1:1,HKD,8841945,342547.28,8841945.0,0.0,N,342547.28,ALS:18100694000000000015306689,2.75,342547.28,1.0,8841945.0,0.0
CLS:0001338103,G007,110718.38,31DEC2024:00:00:00,0.0,CLS:180000000000000001013113:3:0,HKD,79999999999,110718.38,79999999999.0,0.0,N,110718.38,ALS:18100694000000000015315238,2.7,110718.38,1.0,79999999999.0,0.0
CLS:0001338103,P002,110718.38,31DEC2024:00:00:00,0.0,CLS:180000000000000001013113:2:1,HKD,2695384,110718.38,2695383.9999999995,0.0,N,110718.38,ALS:18100694000000000015315238,2.7,110718.38,1.0,2695383.9999999995,0.0
CLS:0001345606,P001,455759.42,31DEC2024:00:00:00,0.0,CLS:180000000000000000029713:1:1,HKD,21220668,455759.42,12292118.4879467,0.0,N,455759.42,ALS:18100694000000000015333335,2.5,455759.42,1.0,12292118.4879467,0.0
CLS:0001346032,P001,1226837.81,31DEC2024:00:00:00,0.0,CLS:180000000000000001014325:2:1,HKD,10141778,1226837.81,10141778.0,0.0,N,1226837.81,ALS:18100694000000000015333998,2.5,1226837.81,1.0,10141778.0,0.0
CLS:0001354907,G007,741388.94,31DEC2024:00:00:00,3258611.06,CLS:180000000000000001499567:2:0,HKD,319999999996,3022416.682,11048967083.44839,33994303230.084072,,370694.47,IM CORE:1810073500000206709400,8.579,370694.47,1.0,11048967083.44839,0.0
CLS:0001354907,P003,370694.47,31DEC2024:00:00:00,1629305.53,CLS:180000000000000001499567:1:1,HKD,25542532,1511208.341,665743.0712307434,2048288.465864635,,370694.47,IM CORE:1810073500000206709400,8.579,370694.47,1.0,665743.0712307434,0.0
