COLLATERAL_AGREEMENT_ID,COLLATERAL_AGREEMENT_TYPE,COLLATERAL_CURRENCY,FACILITY_NR,DEAL_ID,CUR_RT,SECURED_LGD,RECOVER_RANK,COLLATERAL_VALUE_POST_HAIRCUT,EAD_POST_CCF,AS_OF_DT,ON_OFF_IND,DEAL_ALLOCATED_COLLATERAL_ON,DEAL_ALLOCATED_COLLATERAL_OFF,SNAPSHOT_DTE,PRIN_REM,ACCR_INT,EAD,DTE,FWD_INX,FORWARD_LOOKING_ADJ_ALLOCATED_COLLATERAL_VALUE,CORRESPONDING_TOTAL_EXPOSURE_PRE_CCF_1,CORRESPONDING_TOTAL_EXPOSURE_PRE_CCF_2,SECURED_PORTION_1,SECURED_PORTION_2,UNSECURED_LGD,FINAL_LGD_1,FINAL_LGD_2
CLS:180000000000000001005912:1:1,P001,HKD,CLS:0001267678,ALS:18100694000000000015208468,2.8,0.027237354085603127,30,10824186,66954.2,2024-12-31,N,10824186.0,0.0,2025-03-31,-202373.7309102538,-367.8023873391,-202741.5332975929,2025-03-31,0.008,10910779.488,0.0,67086.15,1.0,1.0,0.52,0.027237354085603127,0.027237354085603127
CLS:180000000000000001007207:1:1,P001,HKD,CLS:0001269657,ALS:18100694000000000015216959,3.0,0.029126213592232997,30,5854590,687486.87,2024-12-31,N,5854590.0,0.0,2035-03-31,-42724.2262295077,-24.2264241254,-42748.4526536331,2035-03-31,0.029,6024373.109999999,0.0,687937.68,1.0,1.0,0.52,0.029126213592232997,0.029126213592232997
CLS:180000000000000001007207:1:1,P001,HKD,CLS:0001269657,ALS:18100694000000000015216959,3.0,0.029126213592232997,30,5854590,687486.87,2024-12-31,N,5854590.0,0.0,2034-12-31,-23276.688679452,-13.1988565259,-23289.8875359779,2034-12-31,0.03,6030227.7,0.0,687937.68,1.0,1.0,0.52,0.029126213592232997,0.029126213592232997
CLS:180000000000000001007207:1:1,P001,HKD,CLS:0001269657,ALS:18100694000000000015216959,3.0,0.029126213592232997,30,5854590,687486.87,2024-12-31,N,5854590.0,0.0,2034-09-30,-3967.988328201,-1.928506556,-3969.916834757,2034-09-30,0.031,6036082.289999999,0.0,687937.68,1.0,1.0,0.52,0.029126213592232997,0.029126213592232997
CLS:180000000000000001022960:4:1,P005,HKD,CLS:0001419711,ALS:18100694000000000015478058,2.75,0.010792802179137584,34,807121,137074.38,2024-12-31,N,807121.0,0.0,2034-06-30,-3316.2678394572,-0.493000626,-3316.7608400832,2034-06-30,0.032,832948.872,0.0,137115.58,1.0,1.0,0.52,0.010792802179137584,0.010792802179137584
CLS:180000000000000000101793:19:0,G007,HKD,CLS:0001405155,IMEX:894010917073:ISS000:L/C:1121000000::USD,0.0,0.0,15,159999999998,171346799.51,2024-12-31,F,1275167652.4065292,0.0,2025-02-21,0.0,0.0,0.0,,,,,,,1.0,0.52,,0.0
CLS:180000000000000000101793:1:0,O009,HKD,CLS:0001405155,IMEX:894010917073:ISS000:L/C:1121000000::USD,0.0,0.0,26,4,342693599.02,2024-12-31,F,0.031879191310561716,0.0,2025-02-21,0.0,0.0,0.0,,,,,,,1.0,0.52,,0.0
CLS:180000000000000000101793:76:0,T003,EUR,CLS:0001405155,IMEX:894010917073:ISS000:L/C:1121000000::USD,0.0,0.0,47,63651116,856733997.55,2024-12-31,F,676544.049230102,0.0,2025-02-21,0.0,0.0,0.0,,,,,,,1.0,0.52,,0.0
CLS:180000000000000000101793:19:0,G007,HKD,CLS:0001405155,IMEX:894010918027:ISS000:L/C:1121000000::USD,0.0,0.0,15,159999999998,171346799.51,2024-12-31,F,1028789815.9407487,0.0,2025-02-21,0.0,0.0,0.0,,,,,,,1.0,0.52,,0.0
CLS:180000000000000000101793:1:0,O009,HKD,CLS:0001405155,IMEX:894010918027:ISS000:L/C:1121000000::USD,0.0,0.0,26,4,342693599.02,2024-12-31,F,0.025719745398840217,0.0,2025-02-21,0.0,0.0,0.0,,,,,,,1.0,0.52,,0.0
CLS:180000000000000000101793:76:0,T003,EUR,CLS:0001405155,IMEX:894010918027:ISS000:L/C:1121000000::USD,0.0,0.0,47,63651116,856733997.55,2024-12-31,F,545827.5439858403,0.0,2025-02-21,0.0,0.0,0.0,,,,,,,1.0,0.52,,0.0
CLS:180000000000000000050750:1:0,G007,HKD,CLS:0001355758,IMEX:894020367424:ISS000:L/G:LG::HKD,0.0,0.0,15,159999999998,71407570.3,2024-12-31,F,3304395492.4193277,0.0,2025-03-31,0.0,0.0,0.0,2025-03-31,0.008,0.0,0.0,0.0,1.0,1.0,0.52,0.0,0.0
CLS:180000000000000000050750:1:0,G007,HKD,CLS:0001355758,IMEX:894020367424:ISS000:L/G:LG::HKD,0.0,0.0,15,159999999998,71407570.3,2024-12-31,F,3304395492.4193277,0.0,2025-06-30,0.0,0.0,0.0,2025-06-30,0.007,0.0,0.0,0.0,1.0,1.0,0.52,0.0,0.0
CLS:180000000000000000050750:1:0,G007,HKD,CLS:0001355758,IMEX:894020367424:ISS000:L/G:LG::HKD,0.0,0.0,15,159999999998,71407570.3,2024-12-31,F,3304395492.4193277,0.0,2025-09-30,0.0,0.0,0.0,2025-09-30,0.006,0.0,0.0,0.0,1.0,1.0,0.52,0.0,0.0
CLS:180000000000000000050750:1:0,G007,HKD,CLS:0001355758,IMEX:894020367424:ISS000:L/G:LG::HKD,0.0,0.0,15,159999999998,71407570.3,2024-12-31,F,3304395492.4193277,0.0,2025-12-31,0.0,0.0,0.0,2025-12-31,0.005,0.0,0.0,0.0,1.0,1.0,0.52,0.0,0.0
CLS:180000000000000000050750:1:0,G007,HKD,CLS:0001355758,IMEX:894020367424:ISS000:L/G:LG::HKD,0.0,0.0,15,159999999998,71407570.3,2024-12-31,F,3304395492.4193277,0.0,2026-03-31,0.0,0.0,0.0,2026-03-31,0.018,0.0,0.0,0.0,1.0,1.0,0.52,0.0,0.0
CLS:180000000000000000050750:1:0,G007,HKD,CLS:0001355758,IMEX:894020367424:ISS000:L/G:LG::HKD,0.0,0.0,15,159999999998,71407570.3,2024-12-31,F,3304395492.4193277,0.0,2026-06-30,0.0,0.0,0.0,2026-06-30,0.017,0.0,0.0,0.0,1.0,1.0,0.52,0.0,0.0
CLS:180000000000000000050750:1:0,G007,HKD,CLS:0001355758,IMEX:894020367424:ISS000:L/G:LG::HKD,0.0,0.0,15,159999999998,71407570.3,2024-12-31,F,3304395492.4193277,0.0,2026-09-30,0.0,0.0,0.0,2026-09-30,0.015,0.0,0.0,0.0,1.0,1.0,0.52,0.0,0.0
CLS:180000000000000000050750:1:0,G007,HKD,CLS:0001355758,IMEX:894020367424:ISS000:L/G:LG::HKD,0.0,0.0,15,159999999998,71407570.3,2024-12-31,F,3304395492.4193277,0.0,2026-12-31,0.0,0.0,0.0,2026-12-31,0.03,0.0,0.0,0.0,1.0,1.0,0.52,0.0,0.0
CLS:180000000000000000050750:1:0,G007,HKD,CLS:0001355758,IMEX:894020367424:ISS000:L/G:LG::HKD,0.0,0.0,15,159999999998,71407570.3,2024-12-31,F,3304395492.4193277,0.0,2027-03-31,0.0,0.0,0.0,2027-03-31,0.029,0.0,0.0,0.0,1.0,1.0,0.52,0.0,0.0
CLS:180000000000000000050750:1:0,G007,HKD,CLS:0001355758,IMEX:894020367424:ISS000:L/G:LG::HKD,0.0,0.0,15,159999999998,71407570.3,2024-12-31,F,3304395492.4193277,0.0,2027-06-30,0.0,0.0,0.0,2027-06-30,0.028,0.0,0.0,0.0,1.0,1.0,0.52,0.0,0.0
CLS:180000000000000000050750:1:0,G007,HKD,CLS:0001355758,IMEX:894020367424:ISS000:L/G:LG::HKD,0.0,0.0,15,159999999998,71407570.3,2024-12-31,F,3304395492.4193277,0.0,2027-09-30,0.0,0.0,0.0,2027-09-30,0.026,0.0,0.0,0.0,1.0,1.0,0.52,0.0,0.0
CLS:180000000000000000050750:1:0,G007,HKD,CLS:0001355758,IMEX:894020367424:ISS000:L/G:LG::HKD,0.0,0.0,15,159999999998,71407570.3,2024-12-31,F,3304395492.4193277,0.0,2027-12-31,0.0,0.0,0.0,2027-12-31,0.025,0.0,0.0,0.0,1.0,1.0,0.52,0.0,0.0
CLS:180000000000000000050750:1:0,G007,HKD,CLS:0001355758,IMEX:894020367424:ISS000:L/G:LG::HKD,0.0,0.0,15,159999999998,71407570.3,2024-12-31,F,3304395492.4193277,0.0,2028-03-02,0.0,0.0,0.0,,,,,,,1.0,0.52,,0.0
CLS:180000000000000000101793:19:0,G007,HKD,CLS:0001405104,IMEX:894333135814:001:Finance:INDI::AUD,6.13,0.029309190183833045,15,159999999998,152869003.273,2024-12-31,N,573437311.9494742,0.0,2025-01-10,0.0,0.0,0.0,,,,,127225.28,,,0.52,,
CLS:180000000000000000101793:1:0,O009,HKD,CLS:0001405104,IMEX:894333135814:001:Finance:INDI::AUD,6.13,0.03506712830331282,26,4,305738006.546,2024-12-31,N,0.014335932798916057,0.0,2025-01-10,0.0,0.0,0.0,,,,,127225.28,,,0.52,,
CLS:180000000000000000101793:3:0,T003,USD,CLS:0001405104,IMEX:894333135814:001:Finance:INDI::AUD,6.13,0.040790911518828965,47,26875334,152869003.273,2024-12-31,N,168697.07245057897,0.0,2025-01-10,0.0,0.0,0.0,,,,,127225.28,,,0.52,,
CLS:180000000000000000101793:19:0,G007,HKD,CLS:0001405155,IMEX:894010911337:003:Finance:T/R::USD,6.70701,0.03193721588937959,15,159999999998,171346799.51,2024-12-31,N,854969558.577133,0.0,2025-01-13,0.0,0.0,0.0,,,,,334661.47,,,0.52,,
CLS:180000000000000000101793:1:0,O009,HKD,CLS:0001405155,IMEX:894010911337:003:Finance:T/R::USD,6.70701,0.03820120310520991,26,4,342693599.02,2024-12-31,N,0.021374238964695508,0.0,2025-01-13,0.0,0.0,0.0,,,,,334661.47,,,0.52,,
CLS:180000000000000000101793:76:0,T003,EUR,CLS:0001405155,IMEX:894010911337:003:Finance:T/R::USD,6.70701,0.04442465830546838,47,63651116,856733997.55,2024-12-31,N,453606.6814717491,0.0,2025-01-13,0.0,0.0,0.0,,,,,334661.47,,,0.52,,
CLS:180000000000000000101793:19:0,G007,HKD,CLS:0001405104,IMEX:894333135280:001:Finance:INDI::USD,6.69167,0.03186762493928552,15,159999999998,152869003.273,2024-12-31,N,215426848.53728312,0.0,2025-01-13,0.0,0.0,0.0,,,,,47883.45,,,0.52,,
CLS:180000000000000000101793:1:0,O009,HKD,CLS:0001405104,IMEX:894333135280:001:Finance:INDI::USD,6.69167,0.038118233726379014,26,4,305738006.546,2024-12-31,N,0.0053856712134994,0.0,2025-01-13,0.0,0.0,0.0,,,,,47883.45,,,0.52,,
CLS:180000000000000000101793:3:0,T003,USD,CLS:0001405104,IMEX:894333135280:001:Finance:INDI::USD,6.69167,0.04432848634812192,47,26875334,152869003.273,2024-12-31,N,63375.504031896766,0.0,2025-01-13,0.0,0.0,0.0,,,,,47883.45,,,0.52,,
CLS:180000000000000000101793:19:0,G007,HKD,CLS:0001405104,IMEX:894333142922:001:Finance:INDI::EUR,5.122,0.024666384942594988,15,159999999998,152869003.273,2024-12-31,N,221561136.61573604,0.0,2025-01-13,0.0,0.0,0.0,,,,,48813.18,,,0.52,,
CLS:180000000000000000101793:1:0,O009,HKD,CLS:0001405104,IMEX:894333142922:001:Finance:INDI::EUR,5.122,0.029526164611044292,26,4,305738006.546,2024-12-31,N,0.00553902841546264,0.0,2025-01-13,0.0,0.0,0.0,,,,,48813.18,,,0.52,,
CLS:180000000000000000101793:3:0,T003,USD,CLS:0001405104,IMEX:894333142922:001:Finance:INDI::EUR,5.122,0.034361729530754004,47,26875334,152869003.273,2024-12-31,N,65180.12402930404,0.0,2025-01-13,0.0,0.0,0.0,,,,,48813.18,,,0.52,,
CLS:180000000000000000101793:19:0,G007,HKD,CLS:0001405104,IMEX:894333143823:001:Finance:INDI::EUR,5.109,0.024606071625127846,15,159999999998,152869003.273,2024-12-31,N,607688984.3259333,0.0,2025-01-17,0.0,0.0,0.0,,,,,133860.89,,,0.52,,
