timestamp,facility_nr,collateral_agreement_type,collateral_agreement_id,collateral_amount_hke,haircut,post_haircut_coll_amt,post_ccf_base_amt_fac_level,allocated_collateral_amount
20251124_180702,CLS:1000600495,P003,CLS:180000000000000003288563:2:1,78971361.0,0.4,47382816.6,1710000.0,47382816.6
20251124_180702,CLS:1000600495,G007,CLS:180000000000000003288563:1:0,100000000.0,0.9,9999999.999999998,1710000.0,9999999.999999998
20251124_180702,CLS:1000610591,P001,CLS:180000000000000003293506:1:1,3530088.0,0.4,2118052.8,2642431.89,2118052.8
20251124_180702,CLS:1000623662,P001,CLS:180000000000000003299973:1:1,47143341.0,0.4,28286004.599999998,29481006.12,28286004.599999998
20251124_180702,CLS:1000644384,P002,CLS:180000000000000003291837:7:1,2925947.0,0.4,1755568.2,1103258.76,1755568.2
20251124_180702,CLS:1000644384,G007,CLS:180000000000000003291837:6:0,99999999999.0,0.9,9999999999.899998,1103258.76,9999999999.899998
20251124_180702,CLS:1000632681,O010,CLS:180000000000000003301812:1:0,2446052.0,0.4,1467631.2,,1467631.2
20251124_180702,CLS:1000632489,G007,CLS:180000000000000003303618:3:0,99999999999.0,0.9,9999999999.899998,595000.0,9999999999.899998
20251124_180702,CLS:1000632489,P001,CLS:180000000000000003303618:1:1,62953165.0,0.4,37771899.0,595000.0,37771899.0
20251124_180702,CLS:1000632489,G007,CLS:180000000000000003303619:2:0,99999999999.0,0.9,9999999999.899998,595000.0,9999999999.899998
20251124_180702,CLS:1000611916,P002,CLS:180000000000000003293882:2:1,88805212.0,0.4,53283127.199999996,9000000.0,53283127.199999996
20251124_180702,CLS:1000611916,P003,CLS:180000000000000003293882:4:1,4179905.0,0.4,2507943.0,9000000.0,2507943.0
20251124_180702,CLS:1000611916,G007,CLS:180000000000000003293882:1:0,99999999999.0,0.9,9999999999.899998,9000000.0,9999999999.899998
20251124_180702,CLS:1000611916,P001,CLS:180000000000000003293882:6:1,6577196.0,0.4,3946317.5999999996,9000000.0,3946317.5999999996
20251124_180702,CLS:1000611916,P003,CLS:180000000000000003293882:5:1,4179905.0,0.4,2507943.0,9000000.0,2507943.0
20251124_180702,CLS:1000645687,G007,CLS:180000000000000003308598:4:0,99999999999.0,0.9,9999999999.899998,3620000.0,9999999999.899998
20251124_180702,CLS:1000645687,O010,CLS:180000000000000003308598:5:0,4168621.0,0.4,2501172.6,3620000.0,2501172.6
20251124_180702,CLS:1000587307,P002,CLS:180000000000000003282067:2:1,52555221.0,0.4,31533132.599999998,46000000.0,31533132.599999998
20251124_180702,CLS:1000587307,G007,CLS:180000000000000003282067:9:0,470000000.0,0.9,46999999.99999999,46000000.0,46999999.99999999
20251124_180702,CLS:1000587307,P001,CLS:180000000000000003282067:10:1,19426540.0,0.4,11655924.0,46000000.0,11655924.0
20251124_180702,CLS:1000587307,P002,CLS:180000000000000003282067:4:1,76443959.0,0.4,45866375.4,46000000.0,45866375.4
20251124_180702,CLS:1000587307,G007,CLS:180000000000000003282067:6:0,470000000.0,0.9,46999999.99999999,46000000.0,46999999.99999999
20251124_180702,CLS:1000587307,P001,CLS:180000000000000003282067:11:1,28890753.0,0.4,17334451.8,46000000.0,17334451.8
20251124_180702,CLS:1000587307,P001,CLS:180000000000000003282067:12:1,171451676.0,0.4,102871005.6,46000000.0,102871005.6
